userId,date,pageViews,totalHits,sessionNumber,purchaseValue,trafficSource.adContent,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.slot,browser,deviceType,geoNetwork.region,trafficSource.medium,totals.visits
29401,20161212,5.0,5,1,0.0,,False,1.0,Google Search,Top,Safari,mobile,not available in demo dataset,cpc,1
74650,20170925,1.0,1,1,0.0,,,,,,Chrome,desktop,New York,(none),1
116965,20171011,34.0,44,1,42970000.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
108166,20171028,55.0,79,3,35200000.0,,False,1.0,Google Search,Top,Chrome,desktop,California,cpc,1
11792,20171127,10.0,10,1,41590000.0,,,,,,Chrome,desktop,Illinois,(none),1
37374,20161205,1.0,1,1,0.0,,,,,,Safari,mobile,Colorado,organic,1
96894,20180419,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
86842,20170515,16.0,16,4,47570000.0,,,,,,Safari,desktop,New Taipei City,organic,1
77820,20170725,2.0,2,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
113111,20170329,2.0,2,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
63395,20170318,1.0,1,1,0.0,,,,,,Chrome,mobile,not available in demo dataset,organic,1
38862,20170405,29.0,42,1,27980000.0,,,,,,Chrome,desktop,California,referral,1
95796,20170306,95.0,105,11,271840000.0,,,,,,Chrome,desktop,Jakarta,referral,1
77225,20161202,6.0,8,1,0.0,,,,,,Chrome,desktop,California,(none),1
14922,20180114,1.0,1,2,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
14589,20170124,2.0,2,1,0.0,,,,,,Android Webview,mobile,Maharashtra,(none),1
112873,20170608,1.0,1,9,0.0,,,,,,Chrome,desktop,California,(none),1
62659,20170225,21.0,24,1,0.0,,,,,,Firefox,desktop,Masovian Voivodeship,(none),1
109749,20170108,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
2530,20170730,10.0,10,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
21507,20170409,18.0,22,1,33980000.0,,,,,,Chrome,desktop,California,(none),1
113611,20161027,1.0,1,1,0.0,,,,,,Safari,desktop,New York,(none),1
103704,20180104,14.0,20,1,7970000.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
38589,20160901,24.0,31,2,41370000.0,,,,,,Chrome,desktop,California,organic,1
120788,20170925,1.0,1,7,0.0,Google Merchandise Store,False,1.0,Content,RHS,Safari,tablet,not available in demo dataset,cpc,1
107870,20170421,1.0,1,6,0.0,,,,,,Chrome,desktop,Community of Madrid,referral,1
98792,20171215,1.0,1,4,0.0,,,,,,Chrome,mobile,not available in demo dataset,(none),1
73331,20160910,4.0,4,1,0.0,,,,,,Safari,desktop,not available in demo dataset,referral,1
58547,20170301,1.0,1,1,0.0,,,,,,Chrome,desktop,Lazio,organic,1
103626,20180403,1.0,1,2,0.0,,,,,,Chrome,mobile,Nouvelle-Aquitaine,(none),1
79234,20161019,1.0,1,2,0.0,,,,,,Chrome,desktop,Aquitaine,organic,1
91508,20170207,8.0,8,1,0.0,,,,,,Chrome,desktop,England,(none),1
77070,20170329,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
56996,20180223,3.0,3,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
19186,20161214,4.0,5,1,0.0,,,,,,Chrome,desktop,California,organic,1
84661,20170627,1.0,1,3,0.0,,,,,,Chrome,mobile,Texas,organic,1
6463,20171005,19.0,35,1,0.0,,,,,,Chrome,desktop,California,organic,1
60738,20170803,6.0,6,17,0.0,,,,,,Safari,tablet,Ho Chi Minh City,(none),1
61909,20161118,3.0,4,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
94448,20160805,3.0,3,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,affiliate,1
118080,20161030,1.0,1,1,0.0,,,,,,Safari,desktop,Da Nang,referral,1
93250,20170330,33.0,35,1,64760000.0,,,,,,Chrome,desktop,New York,referral,1
76185,20161223,29.0,38,3,44790000.0,,,,,,Chrome,desktop,California,referral,1
14142,20161013,15.0,19,2,76770000.0,,,,,,Chrome,desktop,New York,(none),1
94234,20160819,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
90142,20170413,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
83338,20161201,1.0,1,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,referral,1
112397,20170609,1.0,1,3,0.0,,,,,,Safari,mobile,California,organic,1
100272,20180219,1.0,1,4,0.0,,,,,,Chrome,desktop,New South Wales,organic,1
6049,20170428,24.0,24,3,33590000.0,,,,,,Chrome,desktop,California,referral,1
55691,20170109,1.0,1,1,0.0,,,,,,Chrome,mobile,not available in demo dataset,organic,1
122215,20160819,24.0,24,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
113295,20161122,1.0,1,5,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
47864,20171001,1.0,1,1,0.0,Google Merchandise Store,False,1.0,Content,RHS,Samsung Internet,mobile,California,cpc,1
76568,20170712,19.0,21,1,13430000.0,,,,,,Chrome,desktop,California,(none),1
33541,20160906,2.0,2,108,0.0,,,,,,Firefox,desktop,Quebec,organic,1
14277,20170307,1.0,1,1,0.0,,,,,,Firefox,desktop,not available in demo dataset,organic,1
33810,20170125,2.0,2,1,0.0,,,,,,Chrome,mobile,not available in demo dataset,(none),1
16957,20170916,9.0,9,5,0.0,,,,,,Chrome,desktop,not available in demo dataset,organic,1
63965,20160818,1.0,1,1,0.0,,,,,,Chrome,desktop,New York,affiliate,1
21206,20170326,21.0,24,1,76990000.0,,,,,,Chrome,mobile,not available in demo dataset,organic,1
25936,20170721,1.0,1,1,0.0,,,,,,Chrome,desktop,Seoul,referral,1
116328,20170930,3.0,4,1,0.0,,,,,,Chrome,desktop,not available in demo dataset,(none),1
